Sample; LockDetected; TextDetected; TextScore; RW Permission; EncryptionDetected; Comment; TimedOut; Classified files
/home/nicola/workspace/Heldroid/experiments/datasets/ransomware/scare/da2597059a401542dced93bf370ce3333b61bb3a9e70d74ccf8f1188e7aad940.apk; true; false; 0,000000; true; false; "Threat: 0,133631, Porn: 0,204124, Law: 0,288675, Copyright: 0,000000, Moneypak: 0,141421"; false; {copyright=[], law=[res/values/strings.xml], moneypak=[res/values/strings.xml], threat=[], porn=[res/values/strings.xml]}
/home/nicola/workspace/Heldroid/experiments/datasets/ransomware/scare/5a3ee6c934476b6fd10372a625612bb7db0ab4de2689c6cabfab5bd7a6c6481e.apk; false; false; 0,000000; true; false; "Threat: 0,000000, Porn: 0,000000, Law: 0,000000, Copyright: 0,000000, Moneypak: 0,000000"; false; {copyright=[], law=[], moneypak=[], threat=[], porn=[]}
/home/nicola/workspace/Heldroid/experiments/datasets/ransomware/scare/7320653eab6be3848c1ad0c8005dd67f46e9cc13db1b7cbc406b67abd0a221cc.apk; true; false; 0,000000; true; false; "Threat: 0,000000, Porn: 0,000000, Law: 0,000000, Copyright: 0,000000, Moneypak: 0,000000"; false; {copyright=[], law=[], moneypak=[], threat=[], porn=[]}
/home/nicola/workspace/Heldroid/experiments/datasets/ransomware/scare/a1b7b1a5e743ee3d9e0c19fc36707e65355f7aa555e9c6f2e81f9856ff28189e.apk; true; false; 0,395118; true; false; "Threat: 0,471405, Porn: 0,333333, Law: 0,500000, Copyright: 0,064820, Moneypak: 0,516398"; false; {copyright=[], law=[res/values/strings.xml, res/values/arrays.xml], moneypak=[res/values/strings.xml], threat=[res/values/strings.xml, res/values/arrays.xml], porn=[res/values/strings.xml]}
/home/nicola/workspace/Heldroid/experiments/datasets/ransomware/scare/2683d97d8abca983bce3fabf97ac4c443b5f189efbfb7c7595e2aa0c3fd2b07d.apk; false; false; 0,000000; true; false; "Threat: 0,288675, Porn: 0,353553, Law: 0,150756, Copyright: 0,000000, Moneypak: 0,408248"; false; {copyright=[], law=[res/values/strings.xml], moneypak=[res/values/strings.xml], threat=[res/values/strings.xml], porn=[res/values/strings.xml]}
/home/nicola/workspace/Heldroid/experiments/datasets/ransomware/scare/8ace9efcc1b4b4b96c4b24b68da5a37ef030f6ed5e39fd2d728cc51d18eb3b39.apk; true; false; 0,000000; false; false; "Threat: 0,365148, Porn: 0,144338, Law: 0,000000, Copyright: 0,000000, Moneypak: 0,204124"; false; {copyright=[], law=[], moneypak=[res/values/strings.xml], threat=[res/values/strings.xml], porn=[res/values/strings.xml]}
/home/nicola/workspace/Heldroid/experiments/datasets/ransomware/scare/5d5585d05e2207864848bf9996626622565b29c47fce1d2acc84615ee6a16b29.apk; false; false; 0,000000; false; false; "Threat: 0,000000, Porn: 0,000000, Law: 0,000000, Copyright: 0,000000, Moneypak: 0,154303"; false; {copyright=[], law=[], moneypak=[], threat=[], porn=[]}
/home/nicola/workspace/Heldroid/experiments/datasets/ransomware/scare/0191d561c0e1caeab5a24a05fd471989d2e02cf0095d66c9db163d6cf6a24421.apk; true; false; 0,000000; false; false; "Threat: 0,223607, Porn: 0,182574, Law: 0,000000, Copyright: 0,000000, Moneypak: 0,000000"; true; {copyright=[], law=[], moneypak=[], threat=[res/values/strings.xml], porn=[]}
/home/nicola/workspace/Heldroid/experiments/datasets/ransomware/scare/e4c9ddbc488aa45f976ce47cea3d6334bc88f58bcf286abe7e760b699d07f32b.apk; false; false; 0,000000; false; false; "Threat: 0,218218, Porn: 0,000000, Law: 0,129099, Copyright: 0,000000, Moneypak: 0,365148"; true; {copyright=[], law=[res/values/strings.xml], moneypak=[res/values/strings.xml], threat=[res/values/strings.xml], porn=[]}
/home/nicola/workspace/Heldroid/experiments/datasets/ransomware/scare/775cbc5d812b7991818b90d53719eb40bc44441aa180189331b6e2055183ab8f.apk; true; false; 0,000000; true; false; "Threat: 0,133631, Porn: 0,204124, Law: 0,288675, Copyright: 0,000000, Moneypak: 0,141421"; false; {copyright=[], law=[res/values/strings.xml], moneypak=[res/values/strings.xml], threat=[], porn=[res/values/strings.xml]}
