"moneypak", "Для разблокировки Вам необходимо оплатить штраф 330 грн!"
"moneypak", "Найдите ближайший терминал самообслуживания(NonStop24, EasyPay, I-box, Bank24)."
"moneypak", "Найдите GlobalMoney в разделе Електронные деньги или в поиске."
"moneypak", "Внесите 330 грн и нажмите оплатить."
"moneypak", "После поступления оплаты ваш телефон будет разблокирован в течении 24х часов."
"moneypak", "Чтобы избежать правовой ответственности и разблокировать телефон, вам необходимо оплатить штраф в размере 1300 рублей."
"moneypak", "Найдите ближайший терминал пополнения счета."
"moneypak", "После оплаты штрафа введите ваш десятизначный номер телефона в нижнее поле без восьмерки."
"moneypak", "Для разблокировки вашего телефона оплатите 500 руб."
"moneypak", "Найдите ближайший терминал системы платежей QIWI"
"moneypak", "Вставьте деньги в купюроприемник и нажмите оплатить"
"moneypak", "В течении 180 минут после поступления платежа ваш телефон будет разблокирован."
"moneypak", "Для разблокировки Аппарата Вам необходимо Оплатить 1000 руб."
"moneypak", "Дла разблокировки вам необходимо оплатить 260 Грн."
"moneypak", "Найдите ближайший терминал пополнения счета."
"moneypak", "Внесите 260 гривен и нажмите оплатить."
"moneypak", "Не забудте взять квитанцию!"

"threat", "В случай не оплаты Ваш телефон будет заблокирован НАВСЕГДА!"
"threat", "А все данные будут безвозвратно уничтожены!"
"threat", "если вы не оплатили штраф, то все данные на телефоне будут удалены, а против вас возбудят уголовное дело."
"threat", "К полной блокировке вашего телефона и потери всей важной информации(фотографии, видео, музыка)."
"threat", "За неуплату штрафа в течении 24 часов все данные на вашем телефоне будут уничтожены!"
"threat", "Ваш телефон заблокирован МВД РФ за просмотр запрещенных Видеоматериалов"
"threat", "Вниманее Ваш телефон заблокирован!"
"threat", "Устройство заблокировано за просмотр и распространение"
"threat", "После поступления оплаты ваше устройство будет разблокировано в течении 24 часов."
"threat", "В СЛУЧАЙ НЕ УПЛАТЫ ВЫ ПОТЕРЯЕТЕ НА ВСЕГДА ВСЕ ДАННЫЕ КОТОРЫЕ ЕСТЬ НА ВАШЕМ УСТРОЙТВЕ!"

"law", "на вас будет заведено дело по статье 242 (Незаконные распространение или использование порнографических материалов)"
"law", "Статья 242 предусматривает штраф в размере 300 тыс."
"law", "рублей либо лишение свободы сроком от 3-х до 7 лет."

"porn", "Ваш телефона был заблокирован за просмотр порнографии, а именно сцен изнасилования, зоофилии, педофилии и других извращений."
"porn", "На вашем телефоне были найдены незаконные порнографические файлы (детское порно, зоофилия, изнасилование и т.д.)"
"porn", "За просмотр детского порно ваш телефон заблокирован!" 
"porn", "детской порнографии, зоофилии и других извращений."

"copyright", "На вашем телефоне были найдены файлы защищенные авторским правом (музыка, видео, приложения) на вас будет заведено дело по статье 146 (Нарушение авторских и смежных прав)"
"copyright", "Ваш телефон заблокирован за нарушение авторских прав."
